GMHI_good	GMHI_bad	Frac_of_core_functions_among_all	Frac_of_core_functions_found	Species_found_together	Func_contributions_per_species	category
2	0	0.5671641791044776	0.4497041420118343	0.0975609756097561	22.27777777777778	1
2	0	0.514792899408284	0.514792899408284	0.0975609756097561	25.041666666666668	1
1	1	0.421259842519685	0.6331360946745562	0.0975609756097561	28.93548387096774	1
0	1	0.3772893772893773	0.6094674556213018	0.0	56.7	0
0	0	0.3861003861003861	0.591715976331361	0.0	129.33333333333334	0
0	2	0.3610108303249097	0.591715976331361	0.0	110.77777777777776	0
0	2	0.3786764705882353	0.6094674556213018	0.0	59.77777777777778	0
0	0	0.3741007194244604	0.6153846153846154	0.0	47.55555555555556	0
0	0	0.4563106796116505	0.5562130177514792	0.0975609756097561	23.6	0
0	0	0.5205479452054794	0.4497041420118343	0.0	147.0	0
0	0	0.4066985645933014	0.5029585798816568	0.0	116.66666666666669	0
0	0	0.5194805194805194	0.4733727810650887	0.0	86.0	0
0	2	0.3620071684587813	0.5976331360946746	0.0	79.6875	0
0	1	0.3648648648648648	0.6390532544378699	0.0	41.55555555555556	0
0	1	0.3851851851851852	0.6153846153846154	0.0	138.25	0
0	0	0.5337837837837838	0.4674556213017751	0.0	151.0	0
0	0	0.4092827004219409	0.5739644970414202	0.0	66.0	0
0	1	0.6	0.1420118343195266	0.0	1.0	0
0	1	0.4349775784753363	0.5739644970414202	0.0	47.833333333333336	0
0	2	0.3676470588235294	0.591715976331361	0.0	106.125	0
0	3	0.3890909090909091	0.6331360946745562	0.0	71.0	0
0	1	0.3617021276595745	0.6035502958579881	0.0	102.0	0
0	1	0.3951612903225806	0.5798816568047337	0.0	86.75	0
