GMHI_good	GMHI_bad	Frac_of_core_functions_among_all	Frac_of_core_functions_found	Species_found_together	Func_contributions_per_species	category
0	4	0.6203703703703703	0.3964497041420118	0.0	43.4	1
1	0	0.7068965517241379	0.2426035502958579	0.4146341463414634	22.615384615384617	1
1	1	0.6194029850746269	0.4911242603550296	0.5121951219512195	36.61764705882353	1
1	3	0.5595238095238095	0.5562130177514792	0.2439024390243902	36.64102564102564	1
1	1	0.6066666666666667	0.5384615384615384	0.5609756097560976	41.0	1
0	3	0.5897435897435898	0.5443786982248521	0.5121951219512195	41.0	1
1	1	0.610738255033557	0.5384615384615384	0.6341463414634146	35.675	1
0	2	0.5444444444444444	0.5798816568047337	0.4634146341463415	37.11764705882353	1
2	1	0.66	0.1952662721893491	0.4146341463414634	21.25	1
1	2	0.5023923444976076	0.621301775147929	0.3658536585365853	36.87323943661972	1
0	3	0.6987951807228916	0.3431952662721893	0.3170731707317073	34.55	1
1	2	0.6181818181818182	0.4023668639053254	0.2682926829268293	22.58823529411765	1
1	2	0.6914893617021277	0.3846153846153846	0.4146341463414634	22.52	1
1	0	0.5903614457831325	0.5798816568047337	0.4146341463414634	40.5	1
1	1	0.4279661016949153	0.5976331360946746	0.4146341463414634	44.51428571428571	1
1	0	0.6216216216216216	0.408284023668639	0.4634146341463415	30.20689655172414	1
0	5	0.4078431372549019	0.6153846153846154	0.3170731707317073	38.34615384615385	1
0	7	0.6384615384615384	0.4911242603550296	0.1951219512195122	35.65217391304348	1
3	1	0.7246376811594203	0.2958579881656805	0.4634146341463415	23.08333333333333	0
1	0	0.6506024096385542	0.3195266272189349	0.1951219512195122	21.85	0
0	0	0.7183098591549296	0.301775147928994	0.1463414634146341	19.363636363636363	0
0	2	0.6224489795918368	0.3609467455621302	0.4146341463414634	37.47368421052632	0
1	0	0.4568965517241379	0.6272189349112426	0.3170731707317073	41.51851851851852	0
2	0	0.5170731707317073	0.6272189349112426	0.4634146341463415	35.768115942028984	0
1	3	0.5519125683060109	0.5976331360946746	0.5121951219512195	34.589285714285715	0
0	1	0.6792452830188679	0.2130177514792899	0.4634146341463415	24.11111111111111	0
0	0	0.6805555555555556	0.2899408284023668	0.5609756097560976	25.88888888888889	0
1	2	0.6388888888888888	0.408284023668639	0.5853658536585366	43.77777777777778	0
0	1	0.72	0.3195266272189349	0.4146341463414634	35.07142857142857	0
0	2	0.4748603351955307	0.5029585798816568	0.4146341463414634	34.27272727272727	0
1	0	0.6	0.0177514792899408	0.3658536585365853	13.25	0
0	2	0.5494505494505495	0.591715976331361	0.3658536585365853	38.02127659574468	0
1	0	0.6891891891891891	0.301775147928994	0.4634146341463415	25.61111111111111	0
1	1	0.7066666666666667	0.3136094674556213	0.4146341463414634	28.0	0
1	3	0.5163043478260869	0.5621301775147929	0.1463414634146341	26.94736842105263	0
1	4	0.4594594594594595	0.6035502958579881	0.4634146341463415	41.94871794871795	0
1	1	0.5954198473282443	0.4615384615384615	0.1951219512195122	10.8	0
0	2	0.5049019607843137	0.6094674556213018	0.4146341463414634	33.55555555555556	0
0	1	0.6204379562043796	0.5029585798816568	0.2439024390243902	28.11764705882353	0
1	2	0.6015625	0.4556213017751479	0.2926829268292683	20.68421052631579	0
1	1	0.6119402985074627	0.4852071005917159	0.5609756097560976	24.157894736842103	0
1	1	0.6	0.4970414201183432	0.4634146341463415	29.76923076923077	0
2	4	0.572289156626506	0.5621301775147929	0.4878048780487805	37.68421052631579	0
1	0	0.5739644970414202	0.5739644970414202	0.5853658536585366	29.7	0
